"","taxon_id","taxonomic_group","scientific_name","common_name","state_listing_status","conservation_concern_rare_plant_rank","accepted_scientific_name","gbif_taxonID","duplicated_taxon","authorship","rank","kingdom","phylum","class","order","family","genus","species"
"1","2431960","Amphibians","Ambystoma californiense pop. 1","California Tiger Salamander – Central California DPS","ST","None","Ambystoma californiense","2431960","Yes","Gray, 1853","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"2","2431960","Amphibians","Ambystoma californiense pop. 2","California Tiger Salamander – Santa Barbara County DPS","ST","None","Ambystoma californiense","2431960","Yes","Gray, 1853","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"3","2431960","Amphibians","Ambystoma californiense pop. 3","California Tiger Salamander – Sonoma County DPS","ST","None","Ambystoma californiense","2431960","Yes","Gray, 1853","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"4","6170146","Amphibians","Ambystoma macrodactylum croceum","Santa Cruz Long-toed Salamander","SE, SFP","None","Ambystoma macrodactylum croceum","6170146","No","Russell & Anderson, 1956","Subspecies","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"5","6170145","Amphibians","Ambystoma macrodactylum sigillatum","Southern Long-toed Salamander","None","SSC","Ambystoma macrodactylum sigillatum","6170145","No","Ferguson, 1961","Subspecies","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"6","2422897","Amphibians","Anaxyrus californicus","Arroyo Toad","None","SSC","Anaxyrus californicus","2422897","No","(Camp, 1915) ","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"7","2422932","Amphibians","Anaxyrus canorus","Yosemite Toad","None","SSC","Anaxyrus canorus","2422932","No","(Camp, 1916) ","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"8","2422884","Amphibians","Anaxyrus exsul","Black Toad","ST, SFP","None","Anaxyrus exsul","2422884","No","(Myers, 1942) ","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"9","9019940","Amphibians","Aneides niger","Santa Cruz Black Salamander","None","SSC","Aneides niger","9019940","No","Myers & Maslin, 1948","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"10","2429804","Amphibians","Ascaphus truei","Pacific Tailed Frog","None","SSC","Ascaphus truei","2429804","No","Stejneger, 1899","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"11","2431759","Amphibians","Batrachoseps campi","Inyo Mountains Slender Salamander","None","SSC","Batrachoseps campi","2431759","No","Marlow, Brode & Wake, 1979","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"12","2431756","Amphibians","Batrachoseps incognitus","San Simeon Slender Salamander","None","None","Batrachoseps incognitus","2431756","No","Jockusch, Yanev & Wake, 2001","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"13","2431762","Amphibians","Batrachoseps luciae","Santa Lucia Slender Salamander","None","None","Batrachoseps luciae","2431762","No","Jockusch, Yanev & Wake, 2001","Species","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
"14","6170187","Amphibians","Batrachoseps major aridus","Desert Slender Salamander","SE","None","Batrachoseps major aridus","6170187","No","Brame, 1970","Subspecies","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma californiense"
